,calories,carbohydrate,sugar,protein,category,servings,high_traffic
199,52.32,2.84,2.96,88.21,Meat,4,1
200,89.72,10.83,2.26,4.52,Vegetable,2,1
201,113.97,12.54,0.64,7.93,Vegetable,6,1
202,648.05,19.28,0.19,35.28,Breakfast,2,0
203,66.16,10.45,1.07,8.81,One Dish Meal,2,1
204,258.33,5.22,8.23,29.05,Breakfast,1,1
205,283.72,34.05,1.63,0.92,Lunch/Snacks,6,1
206,551.7,1.11,5.9,186.18,Pork,4,1
207,20.98,1.26,9.8,0.82,Beverages,1,0
208,10.21,44.63,17.74,13.51,Pork,4,1
209,288.55,38.55,24.65,4.81,Dessert,2,1
210,1165.14,0.14,4.36,9.64,Potato,1,1
211,310.1,48.58,35.01,40.12,Pork,4,1
212,288.55,38.55,24.65,4.81,Dessert,4,1
213,816.25,5.42,8.24,37.47,Meat,1,1
214,299.32,9.58,2.5,125.5,Chicken,6,1
215,280.13,1.1,7.58,0.56,Beverages,2,0
216,25.51,40.64,1.67,3.26,Lunch/Snacks,2,1
217,1292.18,89.2,14.22,80.03,Chicken,4,1
218,166.44,0.53,29.68,4.86,Dessert,6,1
219,1330.48,10.34,5.22,77.57,Chicken,1,0
220,625.76,23.38,11.99,25.79,Breakfast,2,1
221,288.55,38.55,24.65,4.81,Dessert,1,0
222,48.11,5.13,0.29,0.51,Lunch/Snacks,4,1
223,62.85,29.98,4.41,40.65,Chicken,4,0
224,191.89,19.29,5.49,3.71,Potato,4,1
225,133.8,5.48,0.44,57.76,Pork,6,1
226,2703.12,6.4,2.17,28.2,Pork,6,1
227,124.79,158.92,1.76,23.07,Breakfast,1,1
228,0.14,18.12,11.15,87.34,Lunch/Snacks,2,1
229,393.73,39.26,1.33,17.38,Chicken,1,0
230,418.22,32.08,19.78,0.29,Beverages,1,0
231,247.79,32.82,4.57,10.06,Vegetable,2,1
232,207.37,12.05,22.03,0.38,Beverages,4,0
233,523.69,1.98,0.72,41.55,Chicken,6,1
234,627.16,34.96,41.5,16.15,Dessert,6,0
235,357.15,39.67,2.24,38.63,Chicken,4,0
236,482.99,53.73,6.53,3.46,Dessert,6,1
237,158.64,45.71,4.66,91.16,Chicken,2,0
238,581.7,11.48,7.94,13.64,Chicken,4,1
239,593.56,243.2,0.6,2.56,Chicken,2,0
240,539.78,14.84,17.29,21.55,One Dish Meal,2,0
241,791.99,56.12,2.47,2.77,Potato,4,1
242,1550.2,72.86,1.49,40.33,Chicken,4,1
243,653.9,111.8,5.04,0.36,Potato,6,1
244,160.43,11.37,0.6,0.24,Potato,6,1
245,337.48,27.98,2.26,19.05,Potato,2,1
246,71.97,16.94,0.95,3.37,Vegetable,2,1
247,542.49,6.93,26.16,29.67,Lunch/Snacks,4,0
248,208.87,32.34,7.41,6.42,Chicken,6,0
249,379.16,15.49,3.5,33.17,Chicken,6,0
250,768.51,2.32,4.71,11.19,Chicken,4,0
251,129.03,51.57,7.66,6.05,Lunch/Snacks,4,1
252,44.02,6.95,1.23,2.37,Vegetable,4,1
253,239.36,56.72,18.03,0.13,Beverages,1,0
254,359.0,1.65,1.11,20.55,Chicken,4,1
255,866.33,45.08,7.74,64.46,One Dish Meal,1,0
256,682.73,31.36,5.7,3.58,Potato,2,1
257,575.07,69.94,1.18,1.8,Vegetable,1,1
258,125.95,7.85,5.38,0.83,Beverages,2,0
259,674.84,2.64,3.64,1.26,Vegetable,2,1
260,659.82,9.88,5.97,4.83,Breakfast,6,0
261,137.63,191.21,2.05,5.33,Potato,2,1
262,379.16,15.49,3.5,33.17,Chicken,4,0
263,462.41,3.49,6.71,0.93,Vegetable,6,1
264,362.89,34.63,1.2,7.48,Pork,2,1
265,626.61,10.72,4.47,5.9,Potato,1,1
266,436.03,7.66,22.3,23.03,Meat,4,1
267,1767.53,9.96,4.16,70.4,Pork,4,1
268,416.01,1.84,17.99,1.41,Pork,1,1
269,33.36,33.62,19.04,13.24,Breakfast,4,0
270,457.35,12.74,4.83,21.43,Chicken,4,1
271,435.94,58.65,39.46,11.18,Dessert,1,1
272,592.12,27.54,2.97,21.88,Lunch/Snacks,4,0
273,285.01,2.2,15.81,0.76,Beverages,4,0
274,858.67,5.07,7.47,1.84,Lunch/Snacks,1,1
275,597.55,19.65,6.19,6.63,Lunch/Snacks,6,1
276,0.76,1.9,3.76,0.05,Vegetable,2,1
277,452.39,89.19,3.73,18.72,One Dish Meal,4,0
278,369.505,31.985,2.75,12.965,Lunch/Snacks,4,1
279,400.37,23.75,2.21,8.54,Breakfast,2,0
280,460.87,19.115000000000002,3.385,28.53,Meat,1,1
281,409.99,13.61,1.96,8.77,Vegetable,4,1
282,31.65,5.42,6.69,13.25,Vegetable,6,1
283,114.74,32.69,10.02,87.46,Pork,6,1
284,70.81,27.0,11.18,0.21,Beverages,4,0
285,1435.35,75.43,17.09,0.36,Lunch/Snacks,1,1
286,12.97,28.68,11.74,0.61,Beverages,4,0
287,370.92,6.65,4.55,11.97,Lunch/Snacks,1,0
288,35.63,2.52,19.21,0.18,Beverages,1,0
289,223.01,25.99,7.52,11.69,Meat,4,1
290,239.9,51.13,131.39,3.38,Dessert,2,1
291,379.16,4.79,0.4,5.27,Chicken,4,0
292,1878.82,0.8,7.6,89.01,Chicken,1,1
293,410.92,23.17,1.04,19.34,Meat,6,0
294,242.1,6.68,0.25,29.82,Pork,4,1
295,158.46,20.62,6.3,4.75,Vegetable,2,1
296,487.86,142.22,5.21,1.09,Potato,6,1
297,369.505,31.985,2.75,12.965,Lunch/Snacks,6,0
298,25.91,0.82,3.3,44.76,Chicken,4,0
299,1277.97,4.15,0.29,7.64,Pork,1,1
300,84.27,5.07,8.97,0.38,Beverages,1,0
301,293.86,11.43,3.16,0.98,Vegetable,2,1
302,889.25,13.44,1.61,2.58,One Dish Meal,2,0
303,167.09,7.7,30.73,12.87,Dessert,6,0
304,179.45,15.19,2.23,2.53,Potato,1,1
305,649.83,21.64,1.69,0.13,Meat,2,1
306,1706.75,24.59,5.35,39.53,Meat,4,1
307,406.05,128.22,18.58,15.06,Breakfast,2,0
308,73.91,35.05,2.09,14.68,Vegetable,6,1
309,581.04,38.52,0.1,82.85,Chicken,1,1
310,908.63,42.53,1.21,46.13,Pork,4,1
311,491.01,33.94,6.08,5.45,Dessert,4,0
312,1053.21,12.03,16.64,4.92,One Dish Meal,2,1
313,87.17,13.21,0.39,158.81,Meat,4,0
314,135.76,21.48,7.94,7.3,Chicken,4,0
315,132.29,50.28,1.88,22.89,Breakfast,4,0
316,166.73,15.74,4.34,169.78,Meat,4,1
317,92.21,8.53,0.24,14.14,Lunch/Snacks,4,1
318,472.91,8.68,1.91,15.08,Meat,4,1
319,409.03,71.58,5.73,125.66,Chicken,2,1
320,31.75,16.71,1.02,23.14,Breakfast,1,0
321,76.21,91.25,6.12,3.27,Dessert,4,1
322,257.71,140.96,9.46,8.77,Breakfast,6,1
323,49.5,66.64,4.69,53.33,Breakfast,4,0
324,771.52,96.03,1.49,7.52,Dessert,4,1
325,718.34,16.61,8.54,4.52,Chicken,4,0
326,269.46,32.54,2.64,5.9,Potato,4,1
327,798.39,0.86,0.5,0.4,Vegetable,4,1
328,561.43,11.83,9.0,189.33,Pork,6,1
329,552.83,39.55,3.61,48.54,Potato,4,1
330,684.88,41.08,2.0,1.48,Beverages,2,0
331,970.22,177.22,1.8,6.44,Lunch/Snacks,2,1
332,20.81,33.92,5.44,18.54,Lunch/Snacks,4,1
333,561.44,43.26,0.14,96.27,Chicken,6,0
334,532.01,31.76,1.44,17.96,Lunch/Snacks,4,1
335,152.42,12.11,0.38,5.56,One Dish Meal,2,0
336,857.34,67.38,4.97,2.8,Dessert,4,0
337,138.11,3.7,5.24,63.56,Chicken,4,1
338,482.51,26.21,5.29,18.93,Potato,4,1
339,288.55,142.28,50.17,0.47,Dessert,4,0
340,1251.42,12.28,0.17,0.59,Lunch/Snacks,4,1
341,23.64,102.52,14.22,61.22,One Dish Meal,4,1
342,111.1,37.55,6.6,239.57,Lunch/Snacks,2,0
343,958.28,50.02,0.98,9.27,Breakfast,6,1
344,134.48,45.5,37.08,0.2,Chicken,4,0
345,187.46,47.62,16.3,78.81,Pork,1,1
346,110.69,58.8,45.33,1.23,Dessert,6,1
347,416.12,3.43,1.05,10.12,Chicken,6,1
348,1199.2,40.96,1.55,29.53,Pork,6,1
349,94.27,383.06,5.98,39.61,Potato,1,1
350,45.62,15.34,3.27,2.16,Breakfast,6,1
351,269.46,32.54,2.64,5.9,Potato,4,1
352,781.15,3.91,0.39,21.41,Pork,4,1
353,1045.21,5.12,1.79,70.69,Meat,4,0
354,399.26,19.56,5.23,29.82,Pork,4,1
355,1337.71,3.84,8.48,0.95,Vegetable,6,1
356,2282.6,4.5,4.16,31.19,One Dish Meal,4,1
357,259.36,20.05,3.45,91.16,Meat,4,1
358,231.2,15.18,6.96,70.75,Chicken,1,1
359,136.46,31.09,2.4,6.77,Potato,2,1
360,850.16,2.56,1.52,9.31,Lunch/Snacks,6,1
361,1007.85,3.43,5.78,59.23,Chicken,4,1
362,521.78,76.37,12.63,8.62,Potato,6,1
363,11.6,39.04,13.91,4.06,Dessert,4,0
364,268.04,77.7,2.43,0.88,Beverages,2,0
365,516.76,13.59,2.96,50.19,Chicken,4,0
366,34.97,16.88,4.54,14.04,Vegetable,4,1
367,123.02,202.66,16.0,8.14,Dessert,6,1
368,578.4,9.43,4.4,8.36,Chicken,1,1
369,199.54,9.1,8.17,10.1,Meat,6,1
370,1205.68,2.78,1.24,109.92,Meat,6,0
371,259.95,18.93,5.08,0.33,Vegetable,6,1
372,124.30499999999999,13.335,3.7,4.835,Vegetable,2,1
373,877.29,16.62,37.05,21.09,Pork,4,1
374,298.69,1.18,11.47,0.03,Beverages,6,0
375,265.71,11.68,11.7,0.79,Vegetable,2,1
376,399.26,19.56,5.23,29.82,Pork,6,1
377,182.21,11.66,0.91,73.94,Chicken,4,1
378,235.91,43.2,41.24,4.27,Dessert,1,1
379,75.89,22.51,8.18,17.64,Meat,6,1
380,434.29,64.57,2.91,7.16,Potato,2,1
381,1362.81,26.21,1.94,125.43,Chicken,4,0
382,275.96,29.94,13.22,7.49,Chicken,1,1
383,708.64,45.44,4.55,221.91,Chicken,6,1
384,338.74,70.14,0.58,13.36,Chicken,4,0
385,75.17,6.45,8.59,0.73,Beverages,2,1
386,90.01,60.18,15.52,17.64,Breakfast,4,0
387,2.14,20.11,0.16,1.42,Beverages,4,0
388,369.505,31.985,2.75,12.965,Lunch/Snacks,4,1
389,255.58,47.45,1.58,4.92,Vegetable,4,1
390,259.83,89.3,1.61,6.0,Breakfast,4,0
391,110.07,4.07,9.1,8.88,Potato,6,1
392,460.49,18.84,16.96,52.0,Chicken,4,0
393,46.66,4.7,13.11,35.28,Chicken,1,0
394,50.94,37.18,0.5,10.84,Breakfast,1,0
395,90.95,15.03,5.32,19.29,Breakfast,1,1
396,64.36,11.28,12.47,20.87,Potato,4,1
397,2051.34,2.46,2.12,69.62,Chicken,2,1
398,128.3,14.75,3.01,16.34,Pork,4,1
399,71.87,31.44,1.34,32.45,Chicken,2,0
400,338.71,59.94,12.26,30.72,Breakfast,4,0
401,633.87,16.11,2.47,7.25,Lunch/Snacks,6,0
402,291.64,2.12,42.8,11.05,Breakfast,6,0
403,126.96,19.11,18.17,0.18,Beverages,4,0
404,141.15,68.04,1.48,6.95,Meat,4,1
405,124.30499999999999,13.335,3.7,4.835,Vegetable,4,1
406,169.83,42.42,1.98,31.1,Meat,4,1
407,262.09,2.8,8.68,0.08,Beverages,6,0
408,1073.39,8.32,16.11,8.15,Lunch/Snacks,4,0
409,108.62,13.68,6.72,0.23,Beverages,2,0
410,378.65,38.0,5.39,24.04,Meat,6,0
411,617.5,14.68,9.88,3.12,Dessert,6,1
412,237.97,3.35,1.21,5.4,Vegetable,6,1
413,150.83,118.2,0.75,6.27,Potato,4,1
414,602.74,28.03,2.92,5.8,Breakfast,1,0
415,468.76,35.6,1.99,20.66,Meat,4,1
416,652.18,53.19,28.18,2.6,Breakfast,6,0
417,715.66,8.98,1.97,0.93,Vegetable,4,1
418,1830.28,3.92,1.83,44.74,Chicken,1,1
419,536.42,8.87,2.08,38.47,Chicken,4,1
420,94.04,5.17,0.68,0.01,Beverages,2,0
421,332.19,25.86,1.04,20.25,Meat,4,1
422,240.52,19.5,5.64,2.44,Pork,4,1
423,199.34,22.88,32.7,0.15,Beverages,2,0
424,76.28,119.63,0.41,17.79,Lunch/Snacks,4,1
425,1263.15,5.14,16.54,100.46,Meat,2,1
426,187.41,19.12,86.97,4.49,Dessert,6,0
427,124.30499999999999,13.335,3.7,4.835,Vegetable,4,1
428,1646.83,101.11,2.77,14.87,Meat,1,1
429,158.84,19.75,12.66,10.07,Breakfast,4,0
430,11.73,17.57,6.07,0.91,Beverages,4,0
431,402.0,47.57,0.36,0.02,Beverages,6,0
432,999.98,36.65,5.66,16.72,Chicken,4,1
433,48.93,65.68,1.62,9.55,Meat,4,1
434,310.52,12.54,3.21,1.6,Chicken,6,0
435,305.09,21.98,30.6,11.79,Lunch/Snacks,4,1
436,726.23,42.72,1.62,19.19,One Dish Meal,6,1
437,1503.92,13.49,4.79,1.9,Chicken,6,0
438,151.88,7.41,6.09,40.24,One Dish Meal,4,1
439,114.08,15.13,1.81,38.6,Chicken,1,1
440,295.62,22.47,29.72,7.76,Dessert,6,1
441,538.88,6.84,6.95,43.91,One Dish Meal,2,0
442,108.28,60.94,7.79,55.46,One Dish Meal,4,1
443,716.79,24.93,3.32,16.11,Meat,6,1
444,245.53,4.92,22.74,82.39,Chicken,6,0
445,374.35,15.19,9.22,2.49,Dessert,2,1
446,125.76,9.18,0.54,85.32,Chicken,2,1
447,452.51,2.86,9.5,16.78,Chicken,2,0
448,403.7,1.97,13.94,1.08,Breakfast,4,0
449,144.28,39.63,8.81,14.59,Pork,4,1
450,182.76,530.42,5.8,5.01,Potato,4,1
451,1542.53,14.73,5.71,29.92,Lunch/Snacks,4,1
452,361.17,21.52,3.38,19.22,Lunch/Snacks,6,0
453,49.2,173.93,3.53,5.96,Breakfast,2,0
454,18.23,22.32,5.14,18.37,Potato,6,1
455,399.26,19.56,5.23,29.82,Pork,6,1
456,286.7,29.92,2.8,28.07,Breakfast,4,1
457,796.74,44.85,2.36,3.44,Potato,4,1
458,259.32,90.65,3.8,85.81,One Dish Meal,1,1
459,725.82,41.68,1.51,7.78,Potato,6,1
460,1179.5,0.31,13.7,1.42,One Dish Meal,4,1
461,349.29,6.18,1.92,25.18,Vegetable,2,1
462,891.7,3.0,4.97,31.36,Breakfast,4,1
463,189.27,9.54,6.47,0.34,Beverages,6,0
464,108.58,21.67,0.24,11.24,Vegetable,1,1
465,51.81,25.43,0.87,42.7,One Dish Meal,2,0
466,47.89,4.2,11.78,0.93,Beverages,6,0
467,29.19,1.33,66.03,2.56,Dessert,6,1
468,27.11,22.63,4.93,0.0,Beverages,1,0
469,751.18,163.33,13.71,29.39,Lunch/Snacks,6,0
470,1272.1,3.13,0.73,25.44,Chicken,1,0
471,1241.83,6.01,10.36,11.99,Pork,4,1
472,511.39,6.26,7.17,6.62,Dessert,4,1
473,67.72,11.03,5.32,40.39,Pork,1,1
474,354.02,15.36,26.97,64.15,Chicken,2,1
475,54.97,3.72,7.26,1.08,Vegetable,4,1
476,553.67,2.65,1.7,7.96,Vegetable,4,1
477,28.33,66.3,0.77,10.13,Lunch/Snacks,6,0
478,546.1,26.13,3.17,19.42,Chicken,6,1
479,525.28,62.46,1.27,10.85,Lunch/Snacks,1,1
480,394.55,50.96,2.45,66.4,Chicken,1,0
481,392.95,103.46,4.97,1.06,Vegetable,6,1
482,920.73,9.91,38.66,0.36,Dessert,4,1
483,208.66,15.21,1.6,12.43,Chicken,2,0
484,225.87,6.19,2.97,2.89,Chicken,1,0
485,139.19,20.1,18.4,3.95,Breakfast,4,1
486,7.55,54.19,0.91,14.18,Lunch/Snacks,1,1
487,1295.21,34.77,0.75,171.22,Meat,2,1
488,42.13,1.83,2.68,11.43,Breakfast,4,0
489,339.8,2.81,3.03,0.24,Beverages,4,0
490,27.78,25.23,17.58,0.04,Beverages,4,0
491,82.32,16.44,2.86,16.22,Breakfast,2,0
492,14.96,37.05,15.71,0.01,Beverages,4,0
493,581.97,8.29,29.15,0.43,Beverages,4,0
494,46.34,18.24,0.15,1.58,Vegetable,4,1
495,1177.94,48.25,0.78,18.3,Pork,2,1
496,260.15,23.07,71.52,3.22,Dessert,2,1
497,350.61,73.29,17.77,1.98,Dessert,4,1
498,470.68,2.71,3.92,31.4,Breakfast,1,0
499,333.01,19.44,0.69,12.47,Meat,1,1
500,0.3,5.19,0.96,1.51,Beverages,4,0
